"Nombre","Descripcion","Precio_Info","Categoria_URL","Imagen_URL","Archivo_Imagen","SKU_Aleatorio"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Fuds.documents.cimpress.io%2Fv2%2Ftransient%2Fvp%3Ftype%3Dpreview%26ignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdiamond.dyn-des.vpsvc.com%253A443%252Fv1%252FdynamicLines%252F2f1e49899b434e8d900baf73e94a6392%252FuseCase%252F67293c186351f0fb363db970%252FrenderableDocument%253Fculture%253Den-us%2526productId%253DPRD-VZFDERJK%2526productVersion%253D15%2526requestor%253Dgallery-content-query%2526productOptions%25255BSign%252520Option%25255D%253DRetractable%2526productOptions%25255BSize%25255D%253D8.5%252522%252520x%25252012%252522%2526originalRequestor%253Dgallery-fragment%2526colorVariantId%253Dr1&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FNasMwEITfZc7C%252BKduUz1DCYX2VnJQrMUWtSUjrUlSo3cvlg1u6KW9LLOD5tvRjIvR3EHW%252BZNAR6btGPJQPgiE3jHkjFG1BFkIDCp8LgbfRoIEezMgRoHGWaZrehs6pd1lUY3rnV%252BEh8wF2jTPaSrIos6jgLJtT8nSJrCyzboE87WILC8W%252BuidnppE36qiLLOyGbD3RfWYFckJ0zmwV0w%252Fih6dJUSxFk7VLLvJB8iPGU3vAmlI9hMJBFaeX52x6d4VEnlW5Yl825ftz27yb9QOZHlFbedejKV3BwGy%252Bg5VFtnzb1YU%252F01WdXb4c%252FSu%252F548xVOM8Rs%253D&width=412&showerr=true&merchant_metadata=939a3a0b-ba46-4800-94b3-52fc7609f122__r1&bgcolor=f3f3f3","No descargada","VUR9BJPO"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","9CGTUCEL"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","4TFPFH7W"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","54S0DALX"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Fuds.documents.cimpress.io%2Fv2%2Ftransient%2Fvp%3Ftype%3Dpreview%26ignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdiamond.dyn-des.vpsvc.com%253A443%252Fv1%252FdynamicLines%252F303be59a14c640ef87e3086767474df3%252FuseCase%252F6705eebe1d43e021059d9623%252FrenderableDocument%253Fculture%253Den-us%2526productId%253DPRD-VZFDERJK%2526productVersion%253D15%2526requestor%253Dgallery-content-query%2526productOptions%25255BSign%252520Option%25255D%253DRetractable%2526productOptions%25255BSize%25255D%253D8.5%252522%252520x%25252012%252522%2526originalRequestor%253Dgallery-fragment%2526colorVariantId%253Dr1&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FNasMwEITfZc7C%252BKduUz1DCYX2VnJQrMUWtSUjrUlSo3cvlg1u6KW9LLOD5tvRjIvR3EHW%252BZNAR6btGPJQPgiE3jHkjFG1BFkIDCp8LgbfRoIEezMgRoHGWaZrehs6pd1lUY3rnV%252BEh8wF2jTPaSrIos6jgLJtT8nSJrCyzboE87WILC8W%252BuidnppE36qiLLOyGbD3RfWYFckJ0zmwV0w%252Fih6dJUSxFk7VLLvJB8iPGU3vAmlI9hMJBFaeX52x6d4VEnlW5Yl825ftz27yb9QOZHlFbedejKV3BwGy%252Bg5VFtnzb1YU%252F01WdXb4c%252FSu%252F548xVOM8Rs%253D&width=412&showerr=true&merchant_metadata=020cd9f2-f38b-4942-8daa-723bce5e342b__r1&bgcolor=f3f3f3","EM-HP0OORKW.jpg","HP0OORKW"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","GQMNDLN8"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Fuds.documents.cimpress.io%2Fv2%2Ftransient%2Fvp%3Ftype%3Dpreview%26ignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdiamond.dyn-des.vpsvc.com%253A443%252Fv1%252FdynamicLines%252F303be59a14c640ef87e3086767474df3%252FuseCase%252F6705eebe1d43e021059d9623%252FrenderableDocument%253Fculture%253Den-us%2526productId%253DPRD-VZFDERJK%2526productVersion%253D15%2526requestor%253Dgallery-content-query%2526productOptions%25255BSign%252520Option%25255D%253DRetractable%2526productOptions%25255BSize%25255D%253D8.5%252522%252520x%25252012%252522%2526originalRequestor%253Dgallery-fragment%2526colorVariantId%253Dr1&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FNasMwEITfZc7C%252BKduUz1DCYX2VnJQrMUWtSUjrUlSo3cvlg1u6KW9LLOD5tvRjIvR3EHW%252BZNAR6btGPJQPgiE3jHkjFG1BFkIDCp8LgbfRoIEezMgRoHGWaZrehs6pd1lUY3rnV%252BEh8wF2jTPaSrIos6jgLJtT8nSJrCyzboE87WILC8W%252BuidnppE36qiLLOyGbD3RfWYFckJ0zmwV0w%252Fih6dJUSxFk7VLLvJB8iPGU3vAmlI9hMJBFaeX52x6d4VEnlW5Yl825ftz27yb9QOZHlFbedejKV3BwGy%252Bg5VFtnzb1YU%252F01WdXb4c%252FSu%252F548xVOM8Rs%253D&width=412&showerr=true&merchant_metadata=020cd9f2-f38b-4942-8daa-723bce5e342b__r1&bgcolor=f3f3f3","No descargada","CER9K8T4"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","G1MY9W1R"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","Sin imagen","No descargada","TVZ27191"
"Sin nombre","Sin descripción","Sin precio","https://www.vistaprint.com/signs-posters/tabletop-retractables/templates?qty=2&selectedOptions%5BSign%20Option%5D=Retractable&page=1","https://rendering.mcp.cimpress.com/v2/vp/preview?category=gal6&format=auto&quality=95&instructions_uri=https%3A%2F%2Fuds.documents.cimpress.io%2Fv2%2Ftransient%2Fvp%3Ftype%3Dpreview%26ignoreProjection%3Dtrue%26documentUri%3Dhttps%253A%252F%252Fdiamond.dyn-des.vpsvc.com%253A443%252Fv1%252FdynamicLines%252Fef6f4803adcf4ce99c411db08e65c492%252FuseCase%252F6705eebe1d43e021059d9623%252FrenderableDocument%253Fculture%253Den-us%2526productId%253DPRD-VZFDERJK%2526productVersion%253D15%2526requestor%253Dgallery-content-query%2526productOptions%25255BSign%252520Option%25255D%253DRetractable%2526productOptions%25255BSize%25255D%253D8.5%252522%252520x%25252012%252522%2526originalRequestor%253Dgallery-fragment%2526colorVariantId%253Dr1&scene=https%3A%2F%2Fcdn.scenes.documents.cimpress.io%2Fv3%2Fscenes%3Agenerate%3Fdata%3DlY%252FNasMwEITfZc7C%252BKduUz1DCYX2VnJQrMUWtSUjrUlSo3cvlg1u6KW9LLOD5tvRjIvR3EHW%252BZNAR6btGPJQPgiE3jHkjFG1BFkIDCp8LgbfRoIEezMgRoHGWaZrehs6pd1lUY3rnV%252BEh8wF2jTPaSrIos6jgLJtT8nSJrCyzboE87WILC8W%252BuidnppE36qiLLOyGbD3RfWYFckJ0zmwV0w%252Fih6dJUSxFk7VLLvJB8iPGU3vAmlI9hMJBFaeX52x6d4VEnlW5Yl825ftz27yb9QOZHlFbedejKV3BwGy%252Bg5VFtnzb1YU%252F01WdXb4c%252FSu%252F548xVOM8Rs%253D&width=412&showerr=true&merchant_metadata=f80f6ca8-73fd-4eab-b372-0fdb71092e3a__r1&bgcolor=f3f3f3","EM-CCG00DW3.jpg","CCG00DW3"
